tab 	specimens
aniso_f	aniso_l	aniso_p	aniso_s	aniso_s_n_measurements	aniso_t	aniso_type	azimuth	description	dip	experiments	hyst_bc	hyst_bc_offset	hyst_bcr	hyst_mr_mass	hyst_ms_mass	hyst_xhf	instrument_codes	meas_orient_phi	meas_orient_theta	meas_temp	method_codes	rem_hirm_mass	rem_sratio	rem_sratio_back	rem_sratio_forward	result_quality	sample	specimen	volume	weight
																										g		blank_2022-06-03	0	1
							0	1in core	0																	g	DA2-1	DA2-1d	0	0.0164046
							0	1 inch core	0																	g	DA2-A	DA2-A	0	0.0332915
							0	rock chip	0																	g	DA2-r	DA2-r	0	9.78E-5
							299	half-inch core	40																	g	DA4-1	DA4-1C	0	0.0160972
							0	1 inch core	0																	g	DA4-A	DA4-A	0	0.0336086
							0	rock chip	0																	g	DA4-r	DA4-r	0	0.000188
							115	1in core	-6																	g	DA6-1	DA6-1c	0	0.0155148
							358	1in core	40																	g	DA7-2	DA7-2c	0	0.0157833
							354	1in core	62																	g	DX1-1	DX1-1b	0	0.014247
							0	rockchip	0																	g	DX1-1r	DX1-1r	0	0.00031706
							0	1 inch core	0																	g	DX1-4A	DX1-4A	0	0.0325396
							354	half-inch corte	62																	g	DX1-1	DX1-4b	0	0.0157881
							353	1in core	52																	g	DX1-4	DX1-4c	0	0.0155627
							0	rock chip	0																	g	DX1-4r	DX1-4r	0	7.77E-5
							0	rock chip	0																	g	DX1-4r	DX1-4r2	1E-6	0.00049788
							10	1in core	57																	g	DX1-5	DX1-5b	0	0.0159835
							0	rock chip	0																	g	DX1-5	DX1-5r	0	7.986E-5
							0	rock chip	0																	g	DX1-5	DX1-5r2	1E-6	0.00030065
							0	1 inch core	0																	g	DX2-A	DX2-A	0	0.0288162
							0	rock chip	0																	g	DX2-r	DX2-r	0	0.0001808
										IRM-VSM4-LP-HYS-228055	8.543e-3	-4.704e-5		6.225e-3	6.608e-2	7.743e-9	IRM-VSM4	.00	.00	294.00	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M						DA2-r	DA2-r		9.780e-5
										IRM-VSM4-LP-HYS-228060	6.047e-3	-5.327e-5		2.182e-5	5.087e-4	7.558e-11	IRM-VSM4	.00	.00	294.00	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M						DA4-A	DA4-A		3.361e-2
										IRM-VSM4-LP-HYS-228042	6.047e-3	-5.325e-5		3.901e-3	9.094e-2	1.351e-8	IRM-VSM4	.00	.00	294.00	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M						DA4-r	DA4-r		1.880e-4
										IRM-VSM3-LP-HYS-228041	4.194e-3	1.391e-4		3.304e-3	9.507e-2	9.238e-9	IRM-VSM3	.00	.00	300.00	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M						DA4-r	DA4-r		1.880e-4
										IRM-VSM4-LP-HYS-228047	2.770e-2	-3.438e-3		1.860e-4	4.898e-4	1.715e-8	IRM-VSM4	.00	.00	294.00	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M						DX1-4r	DX1-4r		7.770e-5
										IRM-VSM4-LP-HYS-228046	2.014e-2	-7.410e-4		2.898e-4	1.280e-3	1.253e-8	IRM-VSM4	.00	.00	294.00	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M						DX1-4r	DX1-4r		7.770e-5
										IRM-VSM4-LP-HYS-228260	1.910e-2	-6.144e-4		2.845e-4	1.322e-3	1.244e-8	IRM-VSM4	.00	.00	294.00	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M						DX1-4r	DX1-4r		7.770e-5
