tab 	measurements
analysts	aniso_s	aniso_type	citations	contribution_id	derived_value	description	dir_csd	dir_dec	dir_inc	display_order	experiment	external_database_ids	files	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	inversion_height	inversion_residuals	magn_b_111	magn_b_111_sigma	magn_b_x	magn_b_x_sigma	magn_b_xyz_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_induction	magn_mass	magn_moment	magn_r2_det	magn_uncal	magn_volume	magn_x	magn_x_sigma	magn_xyz_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	meas_duration	meas_field_ac	meas_field_ac_phi	meas_field_ac_theta	meas_field_dc	meas_field_dc_phi	meas_field_dc_theta	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	method_codes	quality	result_type	row_id	sequence	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_integral	treat_mw_power	treat_mw_step	treat_mw_time	treat_step_num	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14466						IRM-Magnon																										3.770e-4						31.00							293		IRM-Magnon-14466-0	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-1b	u	1.594e-3	5.986e-6			2024:06:05:15:51:58.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14466						IRM-Magnon																										3.770e-4						305.00							293		IRM-Magnon-14466-1	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-1b	u	1.610e-3	5.920e-6			2024:06:05:15:51:58.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14466						IRM-Magnon																										3.770e-4						1030.00							293		IRM-Magnon-14466-2	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-1b	u	1.605e-3	1.375e-5			2024:06:05:15:51:58.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14466						IRM-Magnon																										1.508e-4						1030.00							293		IRM-Magnon-14466-3	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-1b	u	1.600e-3	1.191e-5			2024:06:05:15:51:58.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14466						IRM-Magnon																										5.027e-5						1030.00							293		IRM-Magnon-14466-4	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-1b	u	1.590e-3	1.039e-5			2024:06:05:15:51:58.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14467						IRM-Magnon																										3.770e-4						31.00							293		IRM-Magnon-14467-0	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-2b	u	2.024e-3	4.525e-6			2024:06:05:15:55:59.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14467						IRM-Magnon																										3.770e-4						305.00							293		IRM-Magnon-14467-1	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-2b	u	2.007e-3	3.555e-6			2024:06:05:15:55:59.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14467						IRM-Magnon																										3.770e-4						1030.00							293		IRM-Magnon-14467-2	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-2b	u	2.010e-3	1.538e-5			2024:06:05:15:55:59.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14467						IRM-Magnon																										1.508e-4						1030.00							293		IRM-Magnon-14467-3	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-2b	u	2.016e-3	1.429e-5			2024:06:05:15:55:59.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14467						IRM-Magnon																										5.027e-5						1030.00							293		IRM-Magnon-14467-4	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-2b	u	1.998e-3	1.344e-5			2024:06:05:15:55:59.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14468						IRM-Magnon																										3.770e-4						31.00							293		IRM-Magnon-14468-0	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-3b	u	1.572e-3	2.351e-6			2024:06:05:15:58:14.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14468						IRM-Magnon																										3.770e-4						305.00							293		IRM-Magnon-14468-1	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-3b	u	1.572e-3	5.019e-6			2024:06:05:15:58:14.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14468						IRM-Magnon																										3.770e-4						1030.00							293		IRM-Magnon-14468-2	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-3b	u	1.566e-3	1.175e-5			2024:06:05:15:58:14.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14468						IRM-Magnon																										1.508e-4						1030.00							293		IRM-Magnon-14468-3	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-3b	u	1.561e-3	1.055e-5			2024:06:05:15:58:14.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14468						IRM-Magnon																										5.027e-5						1030.00							293		IRM-Magnon-14468-4	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-3b	u	1.560e-3	1.042e-5			2024:06:05:15:58:14.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14469						IRM-Magnon																										3.770e-4						31.00							293		IRM-Magnon-14469-0	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-8b	u	1.275e-3	3.411e-6			2024:06:05:15:59:08.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14469						IRM-Magnon																										3.770e-4						305.00							293		IRM-Magnon-14469-1	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-8b	u	1.279e-3	3.604e-6			2024:06:05:15:59:08.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14469						IRM-Magnon																										3.770e-4						3013.00							293		IRM-Magnon-14469-2	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-8b	u	1.278e-3	2.201e-5			2024:06:05:15:59:08.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14473						IRM-Magnon																										3.770e-4						31.00							293		IRM-Magnon-14473-0	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-OX-cube	u	1.729e-3	6.000e-5			2024:06:05:16:13:32.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14473						IRM-Magnon																										3.770e-4						109.00							293		IRM-Magnon-14473-1	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-OX-cube	u	1.681e-3	5.660e-5			2024:06:05:16:13:32.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14473						IRM-Magnon																										3.770e-4						305.00							293		IRM-Magnon-14473-2	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-OX-cube	u	1.649e-3	5.464e-5			2024:06:05:16:13:32.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14473						IRM-Magnon																										3.770e-4						488.00							293		IRM-Magnon-14473-3	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-OX-cube	u	1.634e-3	5.532e-5			2024:06:05:16:13:32.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14473						IRM-Magnon																										3.770e-4						1030.00							293		IRM-Magnon-14473-4	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-OX-cube	u	1.613e-3	5.966e-5			2024:06:05:16:13:32.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14473						IRM-Magnon																										3.770e-4						3013.00							293		IRM-Magnon-14473-5	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-OX-cube	u	1.582e-3	7.376e-5			2024:06:05:16:13:32.00																			
