>>>>>>>>>>
tab	specimens
contribution_id	row_id	specimen	sample	experiments	volume	weight	igsn	igsn_parent	synthetic_alternatives	result_quality	method_codes	citations	meas_temp	meas_orient_theta	meas_orient_phi	azimuth	dip	critical_temp_type	critical_temp_mineral	critical_temp	critical_temp_low	critical_temp_high	hyst_loop	hyst_ms_mass	hyst_mr_mass	hyst_bcr	hyst_bc	hyst_xhf	mineral_type	description	hyst_bc_offset	instrument_codes	rem_hirm_mass	rem_sratio	rem_sratio_forward	rem_sratio_back
		AX1-1r	AX1-1		0	0.0001735				g																				rock chip						
		AX1-1r	AX1-1	IRM-VSM2-LP-HYS-216261		1.735e-4					LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M		300.00	.00	.00									1.034e-1	1.464e-2		1.036e-2	2.345e-8			-8.155e-4	IRM-VSM2				
		AX1-1r	AX1-1	IRM-VSM2-LP-HYS-216262		1.735e-4					LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M		300.00	.00	.00									1.017e-1	1.452e-2		9.878e-3	2.688e-8			-5.345e-4	IRM-VSM2				
		AX1-1r	AX1-1	IRM-VSM3-LP-HYS-216264		1.735e-4					LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M		300.00	.00	.00									1.059e-1	1.634e-2		1.041e-2	2.787e-8			-2.033e-4	IRM-VSM3				
		AX1-1r	AX1-1	IRM-VSM3-LP-BCR-BF-216265		1.735e-4					LP-BCR-BF		300.00	.000	.000										1.598e-2	2.12E-2						IRM-VSM3	4.885e-5	.935	1.000	0.100
>>>>>>>>>>
tab	samples
sample	site	azimuth	dip	lat	lon	height	description	contribution_id
AX1-1	AX1		90	47.2004	-91.3793		pmag core	This study
>>>>>>>>>>
tab	sites
site	location	lat	lon	elevation	description	contribution_id
AX1	Split_Rock	47.2004	-91.3793		anorthosite xenolith	This study
>>>>>>>>>>
tab	locations
location	lat_s	lon_w	lat_n	lon_e	description	contribution_id
Split_Rock	47.2004	-91.3793	47.2004	-91.3793	roadcut in Split Rock State Park	This study
>>>>>>>>>>
tab	measurements
contribution_id	row_id	measurement	experiment	specimen	sequence	standard	quality	method_codes	instrument_codes	display_order	result_type	citations	treat_temp	treat_temp_decay_rate	treat_temp_dc_on	treat_temp_dc_off	treat_ac_field	treat_ac_field_decay_rate	treat_ac_field_dc_on	treat_ac_field_dc_off	treat_dc_field	treat_dc_field_decay_rate	treat_dc_field_ac_on	treat_dc_field_ac_off	treat_dc_field_theta	treat_dc_field_phi	treat_mw_power	treat_mw_time	treat_mw_integral	treat_mw_step	treat_step_num	meas_pos_x	meas_pos_y	meas_pos_z	meas_orient_theta	meas_orient_phi	meas_n_orient	meas_temp	meas_temp_change	meas_freq	meas_duration	meas_field_ac	meas_field_ac_theta	meas_field_ac_phi	meas_field_dc	meas_field_dc_theta	meas_field_dc_phi	inversion_height	inversion_residuals	magn_moment	magn_x	magn_x_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	magn_xyz_sigma	magn_induction	magn_b_x	magn_b_x_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_b_111	magn_b_111_sigma	magn_b_xyz_sigma	magn_r2_det	dir_dec	dir_inc	dir_csd	magn_volume	magn_mass	magn_uncal	aniso_type	aniso_s	hyst_loop	hyst_sweep_rate	hyst_charging_mode	susc_chi_volume	susc_chi_mass	susc_chi_qdr_volume	susc_chi_qdr_mass	description	timestamp	software_packages	files	external_database_ids	derived_value	analysts
		IRM-VSM2-LP-HYS-216261-1	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.355e0																												1.285e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-2	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.355e0																												1.286e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-3	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.355e0																												1.286e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-4	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.355e0																												1.286e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-5	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.354e0																												1.288e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-6	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.354e0																												1.288e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-7	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.354e0																												1.289e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-8	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.353e0																												1.288e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-9	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.353e0																												1.287e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-10	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.353e0																												1.288e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-11	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.353e0																												1.287e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-12	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.353e0																												1.286e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-13	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.353e0																												1.286e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-14	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.351e0																												1.276e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-15	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.346e0																												1.280e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-16	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.338e0																												1.283e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-17	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.331e0																												1.285e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-18	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.324e0																												1.286e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-19	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.319e0																												1.284e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-20	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.313e0																												1.285e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-21	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.308e0																												1.284e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-22	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.303e0																												1.284e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-23	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.298e0																												1.285e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-24	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.293e0																												1.283e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-25	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.288e0																												1.281e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-26	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.283e0																												1.279e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-27	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.278e0																												1.281e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-28	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.273e0																												1.280e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-29	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.268e0																												1.277e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-30	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.263e0																												1.275e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-31	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.258e0																												1.274e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-32	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.253e0																												1.274e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-33	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.248e0																												1.273e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-34	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.243e0																												1.271e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-35	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.238e0																												1.270e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-36	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.233e0																												1.272e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-37	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.228e0																												1.271e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-38	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.223e0																												1.269e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-39	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.218e0																												1.267e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-40	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.213e0																												1.267e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-41	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.208e0																												1.266e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-42	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.203e0																												1.265e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-43	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.198e0																												1.266e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-44	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.193e0																												1.264e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-45	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.188e0																												1.264e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-46	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.183e0																												1.264e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-47	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.178e0																												1.263e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-48	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.173e0																												1.262e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-49	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.168e0																												1.259e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-50	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.163e0																												1.256e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-51	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.158e0																												1.256e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-52	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.153e0																												1.255e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-53	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.148e0																												1.256e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-54	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.143e0																												1.253e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-55	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.138e0																												1.252e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-56	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.133e0																												1.251e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-57	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.128e0																												1.250e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-58	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.123e0																												1.248e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-59	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.118e0																												1.247e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-60	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.113e0																												1.248e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-61	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.108e0																												1.248e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-62	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.103e0																												1.247e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-63	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.098e0																												1.247e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-64	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.093e0																												1.245e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-65	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.088e0																												1.242e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-66	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.083e0																												1.242e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-67	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.078e0																												1.242e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-68	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.072e0																												1.241e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-69	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.068e0																												1.240e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-70	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.063e0																												1.240e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-71	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.058e0																												1.240e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-72	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.053e0																												1.239e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-73	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.048e0																												1.237e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-74	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.043e0																												1.236e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-75	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.038e0																												1.235e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-76	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.033e0																												1.233e-1												2019:08:15:16:37:00.00					
		IRM-VSM2-LP-HYS-216261-77	IRM-VSM2-LP-HYS-216261	AX1-1r		u	g	LP-HYS	IRM-VSM2																													300							1.028e0																												1.231e-1												2019:08:15:16:37:00.00					
