Bapp [mT],M [Am2/kg]
3.354018,0.007351442
3.817513,0.00734157
4.311497,0.00733181
4.838255,0.007323086
5.395277,0.007311911
5.990824,0.00730063
6.625121,0.007287726
7.298499,0.007276514
8.01643,0.007261244
8.777196,0.007247779
9.587117,0.007231313
10.4434,0.007213865
11.36566,0.007198815
12.34841,0.007176791
13.3874,0.007158532
14.48601,0.007137288
15.6586,0.007114693
16.91531,0.007085745
18.25022,0.007060246
19.65632,0.007030918
21.16495,0.006999648
22.77505,0.006962515
24.47295,0.006927555
26.28986,0.006889221
28.22195,0.006844912
30.27326,0.006789594
32.46571,0.006754842
34.76427,0.006706177
37.25485,0.006654495
39.89121,0.006598297
42.68199,0.006539167
45.6566,0.00648024
48.83444,0.006418105
52.20128,0.006353577
55.81532,0.006289685
59.62417,0.006221735
63.67338,0.006153791
68.02405,0.006085296
72.61074,0.006013657
77.49121,0.005942611
82.66241,0.005867464
88.23039,0.00579228
94.08699,0.005715174
100.3483,0.005606022
107.0844,0.005546722
114.116,0.005464656
121.7308,0.005377891
129.6664,0.005286091
138.302,0.00518958
147.3971,0.00508751
157.0597,0.004984741
167.3161,0.004872954
178.3074,0.004752822
189.8707,0.004628315
202.3388,0.004492608
215.499,0.004346672
229.4107,0.00419451
244.3536,0.004024516
260.3224,0.003845598
277.1701,0.00365042
295.0137,0.003442626
313.9653,0.003231128
334.4696,0.002988294
355.9514,0.002729446
379.3681,0.002443476
403.761,0.002142245
429.7114,0.001819683
457.5103,0.001476037
486.822,0.001116931
518.0571,0.000731403
551.7645,0.00032154
587.3642,-0.000104134
624.9784,-0.000540509
665.0103,-0.000994302
707.9682,-0.001459556
753.3543,-0.001933605
801.7175,-0.002411534
853.4185,-0.002892163
908.1001,-0.003367475
966.1231,-0.003838515
1027.915,-0.004377139
1093.973,-0.004826542
1164.14,-0.005253092
1239.028,-0.005658398
1318.015,-0.006040342
1402.84,-0.006398233
1492.151,-0.006726295
1588.523,-0.007029338
1689.046,-0.00729449
1796.393,-0.007521815
