"","component 1","component 2"
"Bh",2.73141532985002,2.83914573278283
"Bh.sd",0.145909579805433,0.00407381208213309
"DP",0.872334612608203,0.256082665725498
"DP.sd",0.0866339532122134,0.00501494889810446
"P",0.132230596373373,0.880404553650499
"P.sd",0.0251735382885453,0.0284760939978908
"S",1.16059154198645,0.888746164328017
"S.sd",0.151119631208822,0.0122096828115984
"OC.mean",0.27719942892151,0.722799171250299
"OC.sd",0.0960746818947016,0.0829498535441335
"EC.mean",0.336193950265192,0.66380469658683
"EC.sd",0.166396734194505,0.0290851578101826
