tab	measurements
measurement	experiment	specimen	treat_dc_field	magn_mass	citations	instrument_codes	method_codes	quality	standard	timestamp
BRIC-20cIRM-VSM2-LP-BCR-BF-1981061	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-2.664e-06	0.007466	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981062	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.0002506	0.007439	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981063	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.0005159	0.007425	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981064	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.0007987	0.007415	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981065	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.001101	0.007404	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981066	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.00142	0.007394	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981067	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.001761	0.007387	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981068	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.002122	0.007376	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981069	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.002507	0.007368	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810610	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.002917	0.00736	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
