tab	specimens
specimen	experiments	sample	hyst_bc	hyst_bc_offset	hyst_bcr	hyst_mr_mass	hyst_ms_mass	hyst_xhf	meas_orient_phi	meas_orient_theta	meas_temp	description	instrument_codes	rem_hirm_mass	rem_sratio	rem_sratio_back	rem_sratio_forward	citations	method_codes	result_quality	weight
BRIC.20c		BRIC.20										rock chip						This Study	LP-MASS	g	0.0001872999966144
BRIC.31c		BRIC.31										rock chip						This Study	LP-MASS	g	0.0002267999947071
BRIC.22c		BRIC.22										rockmag chip						This Study	LP-MASS	g	0.0001976000070571
BRIC.26c		BRIC.26										rockmag chip						This Study	LP-MASS	g	0.0002280000001192
BRIC.20c	IRM-VSM2-LP-HYS-198105	BRIC.20	0.3115	-0.01324		0.007641	0.01109	1.009e-07	0.0	0.0	300.0		IRM-VSM2					This Study	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M		0.0001873
BRIC.31c	IRM-VSM2-LP-HYS-198072	BRIC.31	0.3428	-0.01095		0.008095	0.01233	8.352e-08	0.0	0.0	300.0		IRM-VSM2					This Study	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M		0.0002268
BRIC.22c	IRM-VSM2-LP-HYS-198192	BRIC.22	0.4067	-0.01085		0.01315	0.01788	9.733e-08	0.0	0.0	300.0		IRM-VSM2					This Study	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M		0.0001976
BRIC.26c	IRM-VSM2-LP-HYS-198198	BRIC.26	0.38	-0.01274		0.01105	0.01731	8.676e-08	0.0	0.0	300.0		IRM-VSM2					This Study	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M		0.000228
BRIC.20c	IRM-VSM2-LP-BCR-BF-198106	BRIC.20			0.579	0.007522			0.0	0.0	300.0		IRM-VSM2	0.005453	-0.746	0.1	1.8	This Study	LP-BCR-BF		0.0001873
BRIC.20c	IRM-VSM2-LP-BCR-BF-198107	BRIC.20			0.622	0.00798			0.0	0.0	300.0		IRM-VSM2	0.005981	-0.774	0.1	0.0	This Study	LP-BCR-BF		0.0001873
BRIC.31c	IRM-VSM2-LP-BCR-BF-198073	BRIC.31			0.566	0.007713			0.0	0.0	300.0		IRM-VSM2	0.005751	-0.792	0.1	1.8	This Study	LP-BCR-BF		0.0002268
BRIC.31c	IRM-VSM2-LP-BCR-BF-198074	BRIC.31			0.574	0.00761			0.0	0.0	300.0		IRM-VSM2	0.005734	-0.804	0.1	1.8	This Study	LP-BCR-BF		0.0002268
BRIC.22c	IRM-VSM2-LP-BCR-BF-198193	BRIC.22			0.581	0.01294			0.0	0.0	300.0		IRM-VSM2	0.009993	-0.83	0.1	1.8	This Study	LP-BCR-BF		0.0001976
BRIC.26c	IRM-VSM2-LP-BCR-BF-198199	BRIC.26			0.593	0.01106			0.0	0.0	300.0		IRM-VSM2	0.00857	-0.823	0.1	1.8	This Study	LP-BCR-BF		0.000228
