>>>>>>>>>>
tab	specimens
contribution_id	row_id	specimen	sample	experiments	volume	weight	igsn	igsn_parent	synthetic_alternatives	result_quality	method_codes	citations	meas_temp	meas_orient_theta	meas_orient_phi	azimuth	dip	critical_temp_type	critical_temp_mineral	critical_temp	critical_temp_low	critical_temp_high	hyst_loop	hyst_ms_mass	hyst_mr_mass	hyst_bcr	hyst_bc	hyst_xhf	mineral_type	description	hyst_bc_offset	instrument_codes	rem_hirm_mass	rem_sratio	rem_sratio_forward	rem_sratio_back
		A73-7-1350-4B-01a	A73-7-1350-4		0	6.676E-5				g																				Body sherds (2) - Plain						
>>>>>>>>>>
tab	samples
sample	site	azimuth	dip	lat	lon	height	description	contribution_id
A73-7-1350-4	Level 5		90				non-diagnostic - Thin is likely Late Precontact; Thicker sherd likely Middle Woodland (or large vessel)	This study
>>>>>>>>>>
tab	sites
site	location	lat	lon	elevation	description	contribution_id
Level 5	Feature 18		0		87-92 cm	This study
>>>>>>>>>>
tab	locations
location	lat_s	lon_w	lat_n	lon_e	description	contribution_id
Feature 18						This study
>>>>>>>>>>
tab	measurements
contribution_id	row_id	measurement	experiment	specimen	sequence	standard	quality	method_codes	instrument_codes	display_order	result_type	citations	treat_temp	treat_temp_decay_rate	treat_temp_dc_on	treat_temp_dc_off	treat_ac_field	treat_ac_field_decay_rate	treat_ac_field_dc_on	treat_ac_field_dc_off	treat_dc_field	treat_dc_field_decay_rate	treat_dc_field_ac_on	treat_dc_field_ac_off	treat_dc_field_theta	treat_dc_field_phi	treat_mw_power	treat_mw_time	treat_mw_integral	treat_mw_step	treat_step_num	meas_pos_x	meas_pos_y	meas_pos_z	meas_orient_theta	meas_orient_phi	meas_n_orient	meas_temp	meas_temp_change	meas_freq	meas_duration	meas_field_ac	meas_field_ac_theta	meas_field_ac_phi	meas_field_dc	meas_field_dc_theta	meas_field_dc_phi	inversion_height	inversion_residuals	magn_moment	magn_x	magn_x_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	magn_xyz_sigma	magn_induction	magn_b_x	magn_b_x_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_b_111	magn_b_111_sigma	magn_b_xyz_sigma	magn_r2_det	dir_dec	dir_inc	dir_csd	magn_volume	magn_mass	magn_uncal	aniso_type	aniso_s	hyst_loop	hyst_sweep_rate	hyst_charging_mode	susc_chi_volume	susc_chi_mass	susc_chi_qdr_volume	susc_chi_qdr_mass	description	timestamp	software_packages	files	external_database_ids	derived_value	analysts
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-0	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													10.0001163482666							0.00253093090057373																							2.71556316186397E-7					0.0273943141190337												2093:06:23:05:14:35.739					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-1	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													10.2655339241028							0.00253093090057373																							2.66048167753237E-7					0.0273760343561198												2093:06:23:05:14:39.928					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-2	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													15.057110786438							0.00253093090057373																							1.20391941036156E-6					0.0249524775172882												2093:06:23:05:15:12.16					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-3	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													20.0024967193604							0.00253093090057373																							8.51567584161945E-7					0.0220890636513989												2093:06:23:05:15:42.989					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-4	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													25.1037578582764							0.00253093090057373																							6.71436843519487E-7					0.0200694003082338												2093:06:23:05:16:16.287					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-5	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													30.0244903564453							0.00253093090057373																							4.92344931869011E-7					0.0183539762756769												2093:06:23:05:16:48.251					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-6	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													35.0537071228027							0.00253093090057373																							4.32695364855786E-7					0.0172079250855731												2093:06:23:05:17:20.868					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-7	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													40.0308876037598							0.00253093090057373																							3.92474630770582E-7					0.0160866775405592												2093:06:23:05:17:52.601					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-8	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													45.1543159484863							0.00253093090057373																							3.39704420990142E-7					0.0152058797718866												2093:06:23:05:18:25.188					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-9	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													51.6917953491211							0.00253093090057373																							2.66651199364389E-7					0.0140663323251602												2093:06:23:05:19:06.374					
