tab 	measurements
analysts	aniso_s	aniso_type	citations	contribution_id	derived_value	description	dir_csd	dir_dec	dir_inc	display_order	experiment	external_database_ids	files	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	inversion_height	inversion_residuals	magn_b_111	magn_b_111_sigma	magn_b_x	magn_b_x_sigma	magn_b_xyz_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_induction	magn_mass	magn_moment	magn_r2_det	magn_uncal	magn_volume	magn_x	magn_x_sigma	magn_xyz_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	meas_duration	meas_field_ac	meas_field_ac_phi	meas_field_ac_theta	meas_field_dc	meas_field_dc_phi	meas_field_dc_theta	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	method_codes	quality	result_type	row_id	sequence	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_integral	treat_mw_power	treat_mw_step	treat_mw_time	treat_step_num	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
											IRM-VSM3-LP-HYS-218845						IRM-VSM3													1.988e-1																1.001e0										300		IRM-VSM3-LP-HYS-218845-1	LP-HYS	g					NED1-5c	u					2020:01:06:10:14:00.00																			
											IRM-VSM3-LP-HYS-218845						IRM-VSM3													1.986e-1																9.995e-1										300		IRM-VSM3-LP-HYS-218845-2	LP-HYS	g					NED1-5c	u					2020:01:06:10:14:00.00																			
											IRM-VSM3-LP-HYS-218845						IRM-VSM3													1.981e-1																9.966e-1										300		IRM-VSM3-LP-HYS-218845-3	LP-HYS	g					NED1-5c	u					2020:01:06:10:14:00.00																			
											IRM-VSM3-LP-HYS-218845						IRM-VSM3													1.974e-1																9.926e-1										300		IRM-VSM3-LP-HYS-218845-4	LP-HYS	g					NED1-5c	u					2020:01:06:10:14:00.00																			
											IRM-VSM3-LP-HYS-218845						IRM-VSM3													1.967e-1																9.880e-1										300		IRM-VSM3-LP-HYS-218845-5	LP-HYS	g					NED1-5c	u					2020:01:06:10:14:00.00																			
											IRM-VSM3-LP-HYS-218845						IRM-VSM3													1.959e-1																9.832e-1										300		IRM-VSM3-LP-HYS-218845-6	LP-HYS	g					NED1-5c	u					2020:01:06:10:14:00.00																			
											IRM-VSM3-LP-HYS-218845						IRM-VSM3													1.951e-1																9.783e-1										300		IRM-VSM3-LP-HYS-218845-7	LP-HYS	g					NED1-5c	u					2020:01:06:10:14:00.00																			
											IRM-VSM3-LP-HYS-218845						IRM-VSM3													1.943e-1																9.733e-1										300		IRM-VSM3-LP-HYS-218845-8	LP-HYS	g					NED1-5c	u					2020:01:06:10:14:00.00																			
											IRM-VSM3-LP-HYS-218845						IRM-VSM3													1.935e-1																9.682e-1										300		IRM-VSM3-LP-HYS-218845-9	LP-HYS	g					NED1-5c	u					2020:01:06:10:14:00.00																			
											IRM-VSM3-LP-HYS-218845						IRM-VSM3													1.926e-1																9.633e-1										300		IRM-VSM3-LP-HYS-218845-10	LP-HYS	g					NED1-5c	u					2020:01:06:10:14:00.00																			
											IRM-VSM3-LP-HYS-218845						IRM-VSM3													1.918e-1																9.583e-1										300		IRM-VSM3-LP-HYS-218845-11	LP-HYS	g					NED1-5c	u					2020:01:06:10:14:00.00																			
											IRM-VSM3-LP-HYS-218845						IRM-VSM3													1.910e-1																9.533e-1										300		IRM-VSM3-LP-HYS-218845-12	LP-HYS	g					NED1-5c	u					2020:01:06:10:14:00.00																			
